event,genpart_pid,genpart_exphi,genpart_exeta,genpart_gen,genpart_reachedEE,genpart_pt,genpart_energy,genpart_fbrem,cl3d_pt,cl3d_eta,cl3d_phi,cl3d_showerlength,cl3d_coreshowerlength,cl3d_firstlayer,cl3d_maxlayer,cl3d_seetot,cl3d_spptot,cl3d_szz,cl3d_srrtot,cl3d_srrmean,cl3d_bdteg,cl3d_quality,deta,dphi,deltar,matches
129,211,-2.0260158,-1.771174,2,2,60.39835,187.63846,-1.0,44.683968,-1.7733306,-2.0276952,39,11,3,7,0.011558339,0.010323217,14.944606,0.0042757243,0.003923091,-0.26607943,0,-0.0021566153,0.0016794204711914062,0.002733393968383097,True
130,-211,-2.809527,1.8274348,1,2,35.57415,111.04381,-1.0,36.370228,1.8251293,-2.8056676,34,7,3,32,0.0087671885,0.009282476,8.185918,0.0030488202,0.0027284736,-0.60237867,0,-0.0023055077,0.003859281539916992,0.004495488777305956,True
130,211,0.29794654,-1.7827318,2,2,35.57415,111.04381,-1.0,16.475807,-1.7853417,0.29435885,8,5,30,31,0.009820051,0.01139937,6.4253054,0.0035763923,0.0034800908,-0.64952576,0,-0.0026099682,0.003587692975997925,0.004436606221213584,True
137,211,1.503844,2.3756502,2,2,46.098427,251.63016,-1.0,27.48467,2.372321,1.5047979,36,12,5,34,0.020033855,0.018817622,27.277685,0.0038454358,0.0030920964,-0.46639925,0,-0.003329277,0.0009539127349853516,0.0034632405497661803,True
137,-211,-1.623183,-2.388068,1,2,46.098427,251.63016,-1.0,33.143127,-2.3907957,-1.623607,22,14,19,29,0.021826314,0.016229156,18.3292,0.0040557147,0.0028309356,-0.417005,0,-0.002727747,0.0004240274429321289,0.0027605076910606386,True
139,211,2.7232773,2.358961,2,2,86.69134,453.20364,-1.0,49.349224,2.3547416,2.7219787,39,11,5,29,0.021004409,0.018916197,22.602089,0.0040948587,0.0033436215,-0.53024673,0,-0.004219532,0.001298666000366211,0.00441485940448327,True
139,-211,-0.41028085,-2.3172224,1,2,86.69134,453.20364,-1.0,66.66333,-2.3178196,-0.4104204,33,9,5,29,0.01940768,0.021224242,8.843286,0.003932917,0.0036031154,-0.68525916,0,-0.00059723854,0.00013953447341918945,0.0006133218924100234,True
142,-211,-1.1741949,1.8682654,1,2,6.554105,21.593153,-1.0,3.7174494,1.8647027,-1.1609333,5,3,25,29,0.007771129,0.012557756,3.2270105,0.002518407,0.0023331742,-0.67937535,0,-0.0035626888,0.013261675834655762,0.013731889803240735,True
146,-211,-0.11189354,2.0798225,1,2,13.983322,56.80494,-1.0,5.819189,2.0773625,-0.0997495,21,5,3,21,0.016517784,0.019614613,8.126763,0.0043486548,0.0036169027,-0.38243175,0,-0.002460003,0.012144044041633606,0.012390698919822378,True
146,211,2.9645464,-2.0793164,2,2,13.983322,56.80494,-1.0,5.2440357,-2.0781338,2.9562342,19,6,5,7,0.0154127125,0.015020221,6.770745,0.004056237,0.0037292144,-0.27888405,0,0.0011825562,0.008312225341796875,0.008395923367102407,True
148,-211,0.7764708,2.549531,1,2,23.739857,150.605,-1.0,8.612085,2.5311866,0.7729076,28,6,3,29,0.035255227,0.027398348,11.371063,0.005768396,0.0042744195,-0.6946279,0,-0.018344402,0.0035631656646728516,0.018687247915151136,True
151,-211,-0.06550121,-1.8290889,1,2,42.93309,136.94919,-1.0,23.560972,-1.8267962,-0.06441229,16,9,15,21,0.010439646,0.010206315,6.522676,0.0036316507,0.003456019,-0.30881706,0,0.0022927523,0.0010889247059822083,0.0025382021105529676,True
151,211,3.048499,1.8261449,2,2,42.93309,136.94919,-1.0,20.771872,1.8257565,3.0457962,35,6,9,40,0.012408236,0.012595187,13.66386,0.004328969,0.0010412151,-0.6851734,0,-0.00038838387,0.002702951431274414,0.002730712080519954,True
152,-211,-0.2329354,-2.981736,1,2,80.18264,799.65247,-1.0,54.550888,-2.9659994,-0.23644716,42,15,7,17,0.03203327,0.036709312,27.272942,0.003389254,0.002773002,0.23338467,0,0.01573658,0.003511756658554077,0.01612365926170901,True
157,-211,-2.5864544,2.892875,1,2,26.369364,234.36526,-1.0,17.571331,2.8930624,-2.5803528,23,9,5,17,0.037474096,0.039544094,4.937166,0.0041999845,0.0041068876,-0.15131542,0,0.000187397,0.0061016082763671875,0.006104485334164633,True
157,211,0.53967243,-2.8567662,2,2,26.369364,234.36526,-1.0,22.399029,-2.8701255,0.5471217,31,11,3,29,0.035581958,0.04290126,14.921647,0.0040083206,0.0027696327,-0.52079177,0,-0.013359308,0.0074492692947387695,0.01529584039315133,True
160,211,0.17514117,1.9067429,2,2,82.48176,283.20483,-1.0,54.744465,1.9096178,0.1738039,34,5,13,38,0.009950599,0.01230973,14.199693,0.0031472202,0.0026427216,-0.60237867,0,0.0028748512,0.0013372749090194702,0.0031706582173408417,True
160,-211,-2.9532099,-1.9029276,1,2,82.48176,283.20483,-1.0,50.336224,-1.9037925,-2.9519234,34,18,1,32,0.014461798,0.013278279,14.700657,0.004620883,0.0039541484,-0.6448221,0,-0.0008648634,0.0012865066528320312,0.0015501896809023879,True
161,-211,2.087514,1.7499366,1,2,66.61144,197.6152,-1.0,37.906506,1.7510319,2.0873213,42,12,3,35,0.009797892,0.0122912945,13.842333,0.0037343737,0.0026395777,-0.46639925,0,0.001095295,0.0001926422119140625,0.0011121070337641978,True
161,211,-1.0733899,-1.7518821,2,2,66.61144,197.6152,-1.0,28.80888,-1.7527766,-1.0726798,45,12,5,13,0.012146111,0.013550714,25.955822,0.0046074498,0.0041007814,-0.32123324,0,-0.0008945465,0.0007101297378540039,0.0011421460944079336,True
163,-211,2.0000606,-2.6282632,1,2,7.075684,49.07063,-1.0,4.141431,-2.6141636,1.9825724,13,5,3,5,0.041272983,0.05279345,3.1892517,0.0059426324,0.0054412615,-0.73647565,0,0.014099598,0.01748812198638916,0.022464039534258417,True
163,211,-1.215395,2.621203,2,2,7.075684,49.07063,-1.0,3.8245723,2.5913877,-1.2308936,24,1,7,7,0.025601333,0.020422012,13.188996,0.00386158,0.002982772,-0.2070413,0,-0.029815197,0.015498638153076172,0.03360288358290998,True
167,211,2.3492625,1.7981148,2,2,20.467466,63.23257,-1.0,7.4515505,1.7999923,2.3482976,34,6,5,29,0.008209547,0.011081819,11.9108,0.0029312896,0.0024951561,-0.6321455,0,0.0018775463,0.0009648799896240234,0.0021109650601853253,True
167,-211,-0.7323227,-1.7898726,1,2,20.467466,63.23257,-1.0,12.763142,-1.7957047,-0.7297061,33,11,1,31,0.013146953,0.007869591,11.850689,0.0046294862,0.004134763,-0.6048776,0,-0.005832076,0.002616584300994873,0.006392153414625846,True
169,211,-1.0749302,2.6160557,2,2,8.290996,56.584072,-1.0,4.283334,2.6153853,-1.0632552,43,1,5,47,0.026797539,0.031296175,63.55469,0.0038614979,0.002613927,-0.6150287,0,-0.00067043304,0.011675000190734863,0.011694234045918852,True
169,-211,2.1307547,-2.6009238,1,2,8.290996,56.584072,-1.0,4.728777,-2.5977156,2.12419,28,3,3,29,0.030592596,0.025279997,14.501231,0.0045624473,0.0032069392,-0.600897,0,0.0032081604,0.006564617156982422,0.007306606022797624,True
176,211,-2.5680332,-2.2312777,2,2,54.496223,261.11566,-1.0,30.13957,-2.234952,-2.570211,21,14,15,29,0.017530754,0.018222993,11.815107,0.0038449308,0.0035200631,-0.4794964,0,-0.0036742687,0.002177715301513672,0.004271146798898824,True
177,-211,1.0645628,1.8968747,1,2,52.867535,182.31473,-1.0,38.374058,1.8960043,1.0655227,21,11,21,29,0.012236976,0.011390361,15.124792,0.003926821,0.0033106604,-0.53024673,0,-0.000870347,0.0009598731994628906,0.0012957084877776648,True
177,211,-2.0975585,-1.9220884,2,2,52.867535,182.31473,-1.0,25.950464,-1.9213852,-2.1014328,13,10,29,38,0.010256892,0.014316992,19.115582,0.0032126484,0.0029247392,-0.5903262,0,0.0007032156,0.0038743019104003906,0.003937604278934421,True
184,211,1.7143916,1.4525181,2,2,70.12311,158.35849,-1.0,6.626715,1.4554058,1.6798793,7,2,41,46,0.0070273476,0.0,16.22721,0.0038500475,2.213376e-08,-999.0,1,0.0028877258,0.03451228141784668,0.034632882195023064,True
184,-211,-1.4018788,-1.4568943,1,2,70.12311,158.35849,-1.0,12.103999,-1.454465,-1.4165647,5,5,40,41,0.006972813,0.0020135655,12.370165,0.0038238573,2.6833021e-08,-999.0,1,0.002429247,0.014685869216918945,0.014885428952930576,True
186,211,-1.7644774,-2.1126242,2,2,97.72096,396.6745,-1.0,89.79271,-2.112878,-1.7661508,25,13,3,11,0.015324196,0.013960119,4.474291,0.0038395778,0.0035354826,0.101721324,1,-0.0002539158,0.0016734600067138672,0.001692613842797044,True
188,-211,1.708551,-1.8227521,1,2,46.928215,148.0025,-1.0,35.589085,-1.8204043,1.7107819,28,8,11,23,0.0090964,0.011148022,19.298254,0.0031869728,0.002963917,-0.52202064,0,0.002347827,0.0022308826446533203,0.0032386924496345367,True
